Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
30-Oct-15,2090,2079.36,2094.32,2079.34,2614723584,-1,-10.05
2-Nov-15,2080.76,2104.05,2106.2,2080.76,2266202624,1,24.69
3-Nov-15,2102.63,2109.79,2116.48,2097.51,2404615424,1,5.74
4-Nov-15,2110.6,2102.31,2114.59,2096.98,2439286528,-1,-7.48
5-Nov-15,2101.68,2099.93,2108.78,2090.41,2393528064,-1,-2.38
6-Nov-15,2098.6,2099.2,2101.91,2083.74,2605156608,-1,-0.73
9-Nov-15,2096.56,2078.58,2096.56,2068.24,1516152192,-1,-20.62
10-Nov-15,2077.19,2081.72,2083.67,2069.91,2262318848,1,3.14
11-Nov-15,2083.41,2075,2086.94,2074.85,2172561152,-1,-6.72
12-Nov-15,2072.29,2045.97,2072.29,2045.66,2434691584,-1,-29.03
13-Nov-15,2044.64,2023.04,2044.64,2022.02,2635489024,-1,-22.93
16-Nov-15,2022.08,2053.19,2053.22,2019.39,2380778496,1,30.15
17-Nov-15,2053.67,2050.44,2066.69,2045.9,2617077760,-1,-2.75
18-Nov-15,2051.99,2083.58,2085.31,2051.99,2397324032,1,33.14
19-Nov-15,2083.7,2081.24,2086.74,2078.76,2208183296,-1,-2.34
20-Nov-15,2082.82,2089.17,2097.06,2082.82,2380094464,1,7.93
23-Nov-15,2089.41,2086.59,2095.61,2081.39,2094178432,-1,-2.58
24-Nov-15,2084.42,2089.14,2094.12,2070.29,2272113152,1,2.55
25-Nov-15,2089.3,2088.87,2093,2086.3,1630747520,-1,-0.27
27-Nov-15,2088.82,2090.11,2093.29,2084.13,824905792,1,1.24
30-Nov-15,2090.95,2080.41,2093.81,2080.41,2342307072,-1,-9.7
1-Dec-15,2082.93,2102.63,2103.37,2082.93,2214891008,1,22.22
2-Dec-15,2101.71,2079.51,2104.27,2077.11,2357917696,-1,-23.12
3-Dec-15,2080.71,2049.62,2085,2042.35,2808775680,-1,-29.89
4-Dec-15,2051.24,2091.69,2093.84,2051.24,2718413056,1,42.07
7-Dec-15,2090.42,2077.07,2090.42,2066.78,2489775616,-1,-14.62
8-Dec-15,2073.39,2063.59,2073.85,2052.32,2564422144,-1,-13.48
9-Dec-15,2061.17,2047.62,2080.33,2036.53,2746087168,-1,-15.97
10-Dec-15,2047.93,2052.23,2067.65,2045.67,2248197632,1,4.61
11-Dec-15,2047.27,2012.37,2047.27,2008.8,2740300544,-1,-39.86
14-Dec-15,2013.37,2021.94,2022.92,1993.26,2867117056,1,9.57
15-Dec-15,2025.55,2043.41,2053.87,2025.55,2695609344,1,21.47
16-Dec-15,2046.5,2073.07,2076.72,2042.43,2722534912,1,29.66
17-Dec-15,2073.76,2041.89,2076.37,2041.66,2499733504,-1,-31.18
18-Dec-15,2040.81,2005.55,2040.81,2005.33,4139086848,-1,-36.34
